phone-number		name	isDeleted
13599120226	19172be811bc4f30b0a1bffa1aa2786c	AmandaGarcia	0
13184142573	b15becf92f8c20baad84a5d65279e4d4	ChaseFisher	0
11374275253	e9d14644269fab33d0a161afd7eda242	LisaSmith	0
11472631922	98f165a609800b5bffc9a51c05a683e6	DianaWyatt	0
11978486745	9016a7e4b746c4883fe457d159398726	OscarLopez	0
15287468944	5ce705dee1b2555e384d99a1715aa3fe	AngelDuncan	0
14948722052	c840945a1aa08a5171fed8b3673bec13	AshleyVelez	0
12502205762	80f869c097b129845eac1307cff273a8	StacieMartinez	0
16872163600	c23d83e0f50cb59d23b2dbaaaeff32f6	DamonLewis	0
14265960783	92b06c25ded8f47369c8d28f1db436fb	MaryCook	0
15940023555	3975a6ca4928b3e1464d189fae888688	StevenTorres	0
15776461324	8d8c843e8e18d4122ad312d1c4fc23f1	MitchellAlvarez	0
17528367492	95e57d815b3fb9f93a9b111be715c381	ShannonGonzalez	0
16612281632	2d72aab364a42ebd962b7a30c09b6fa8	DanielleJohnson	0
15459653856	25afd25fb8ef15f637806d6155ec7c8f	StephenMcgee	0
16652890752	58fa13fe9d6bf014073bf1d36937f238	RandallWells	0
19035924925	08d21f554c67e3298e6cd2e4664ca217	MaryBrowning	0
18417287012	461f4dec47f3c0dc32a8be96d5d9c4e2	ChristopherStanton	0
19609029979	7a1cac0b764138949cbc7f5af8a5a674	AmandaWilliams	0
13281359709	bbba8f64b21d8f8dce63c092e415fe50	AmyMartinez	0
11496791662	d7209c4b8328844e4d3d012f9a431938	DanielHill	0
11065409314	33205d78a23923845796ba086210aae9	CharlesFranco	0
10004497971	310e2246cecf047a23fa446f4c77648d	JillHodges	0
15039480216	f25c4cee7993248f209d2efc07a0ac88	JasonGlover	0
12328237567	c92121ff2fe70dcf9969a094e8530a24	CindyMiller	0
11445920136	a103df6baa8e7068f147bcb3dca0759d	KimberlyJohnson	0
11660760798	98d2bea56f692d892924088b4496a18d	AngelaShaffer	0
18127396800	bf6b33918baa3db39a1b25bf3e19525d	AshleyBoyle	0
10999290629	4af876d94a60b5397332a78c0532947a	BrookeBrooks	0
16288413433	ecef509953bf6d9c7bdd70b83cd1b2a6	Ms.ShannonConner	0
16428229479	58fdcd1f1147bd6607275416c2ec7309	JenniferLynn	0
16293633916	d765c73f136f9e29183f015fa73c0325	NancyJohnson	0
15051624105	5172474d36b1f8935b1904776017925f	LaurieSmith	0
19324420367	f2b1a3e6d0480da0b3c82726b838c47c	JustinWatson	0
16172608583	ee72fd52e6e0c5b29be14721475fd173	SheilaHowe	0
17375388827	4c8a4aa1e2ef27b859b7c5fee2d39e0b	JackieSanchezDDS	0
13262627269	258976c0d9fb526f2c896d8720aeeaa7	BrentRussell	0
17271085965	bd931c6eedc3f4b386ac7e2848f21678	LisaScott	0
18548615634	f74ba92164f6a69233d0f47f906ee990	MichaelWallace	0
14711128705	588776869cd0415b3adab8dd691fd7e0	RalphWong	0
16758502440	386c5d4e840aade08ee3412d22109341	VirginiaThomas	0
19156278454	16eed759fa0f74ee85916ff7bf737bb2	DonaldGarcia	0
11744098913	e5d71ec132c2d0874b055c344a579409	BenjaminRamos	0
11379898815	e6bdaaf00f60bfbb62592a586ce75d2f	MichaelHale	0
10808353007	6be20064a0c5c390662a65412d42303d	KevinEvans	0
15712572568	f651f5cb61f47b358bac7444afdd88c7	EdwardPham	0
